Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20
Γρηγοριάδης Γεωργίου Κλέων,Γρηγοριάδης,Γρηγοριάδης Κλέων,ΜέΡΑ25,,1245762568590888960,1704889057,559327717,75612728,1247186053838110720,334852376,308513797,737554014,749459611,3177537941,2904809806,817000118486532097,3306415965,1164059827389292544,3348063940,885470326649491457,537511377,917441918,1357766938156560389,1322629397560647680
Σακοράφα Ηλία Σοφία,Σακοράφα,Σακοράφα Σοφία,ΜέΡΑ25,SofiaSakorafa,533082734,1210712851813453824,979306244556185601,3135015881,3026165885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γεραπετρίτης Βασιλείου Γεώργιος,Γεραπετρίτης,Γεραπετρίτης Γεώργιος,ΝΔ,,889060935238856704,1125006150251024384,3371243512,127197676,1329077388404162564,301546923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γιαννάκου Παναγιώτη Μαριορή (Μαριέττα),Γιαννάκου,Γιαννάκου Μαριέττα,ΝΔ,m_giannakou,437565816,886723075,2508098765,2527012549,1715862908,708279933882265601,873936587788365827,557041370,727583402468249600,4448951428,2717817027,917449272060203008,959878916600147971,2463120384,611822142,2709124963,2759032874,793046990930272256,888378298413273088,2194406667
Θεοδωρικάκος Δημητρίου Παναγιώτης (Τάκης),Θεοδωρικάκος,Θεοδωρικάκος Τάκης,ΝΔ,theodorikakosp,1149205366930071552,2921595088,707572831442362368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Πικραμμένος Όθωνος Παναγιώτης,Πικραμμένος,Πικραμμένος Παναγιώτης,ΝΔ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ταραντίλης Δημητρίου Χρήστος,Ταραντίλης,Ταραντίλης Χρήστος,ΝΔ,xtarantilis,2596466114,392556012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Συρίγος Ματθαίου Ευάγγελος (Άγγελος),Συρίγος,Συρίγος Άγγελος,ΝΔ,angelossyrigos,413255808,1219592602904879104,1235187377800347648,850986288920580096,3213052055,3112104077,1122906806,768866388454830080,866415822,3289219947,1295029024377446404,1047846096083537920,816596471449616384,2935249533,1940951544,1048106785,762584538556035072,1016325400379699203,3136110256,1084463894335238145
Πιπιλή Ανδρέα Φωτεινή,Πιπιλή,Πιπιλή Φωτεινή,ΝΔ,FotiniPipili,481393090,527785696,2968540617,2979583996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπογδάνος Σπυρίδωνος Κωνσταντίνος,Μπογδάνος,Μπογδάνος Κωνσταντίνος,ΝΔ,bogdanosk,2902365153,3226170125,1246430042793615360,1190936114141503488,1307181776213864451,2979478557,1160208875431309312,1132542296048717824,1312364269648973824,0,0,0,0,0,0,0,0,0,0,0
Κακλαμάνης Μιχαήλ Νικήτας,Κακλαμάνης,Κακλαμάνης Νικήτας,ΝΔ,NKaklamanis,72838721,2591281633,712231874454802433,1139634200,2694871946,838454990293372928,1126509124261298177,806916081969496068,0,0,0,0,0,0,0,0,0,0,0,0
Κεφαλογιάννη Ιωάννη Όλγα,Κεφαλογιάννη,Κεφαλογιάννη Όλγα,ΝΔ,olgakef,2365419054,4419813679,2551074277,3964528523,797748782884655104,4448568201,1363219327042912258,2950969877,984015515072032769,786212071230808064,2565484631,1002502817721053184,3024442072,800264265005350912,2809744995,0,0,0,0,0
Κικίλιας Παναγιώτη Βασίλειος,Κικίλιας,Κικίλιας Βασίλειος,ΝΔ,Vkikilias,54283324,895210382394101761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Πλεύρης Κωνσταντίνου Αθανάσιος,Πλεύρης,Πλεύρης Αθανάσιος,ΝΔ,thanosplevris,112445908,1562243898,856572477232775170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ράπτη Γεωργίου Ζωή,Ράπτη,Ράπτη Ζωή,ΝΔ,raptizoi,70973903,2443992852,4484051021,2413893906,2249978154,3345420172,561002925,723126549529133056,752856917073092608,845350128,4823348890,3350788324,3100429407,2976536135,928706574998233088,2860874456,2768667423,331879778,1152832193330393093,728786761292382208
