id,screen_name,category
4f3f5189003932281b048404,gr,Smoke Shop
4f424a81e4b0f4a9fc54982b,TsitsiklisTyres,Automotive Shop
4f4ad32ee5e8cf3fd25a3c30,dendrolivanogr,Hotel
4f4e0cb9e4b05ebee5830bec,Burlesquegr,Café
4f52298de4b028a91efdf58e,liontransfer,Taxi
4f526974e4b0c416045af83b,pizzadoros,Pizza Place
4f55160c003933e2e7055964,kyriakisaouli,Doctor's Office
4f55cac3e4b0398c6e235296,starfm935drama,TV Station
4f566258e4b06d72393ddd58,HotelNikopolis,Italian Restaurant
4f623758e4b0233fb400c6a3,ststam,Office
4f6482bae4b0c65cc44f26d9,GeoXrisos,Salon / Barbershop
4f660043e4b0c65cc5a6d057,nextweb,Coworking Space
4f686c4be4b0c2cd00696a95,MonadaELPIDA,Non-Profit
4f6c568ee4b09530ad37b32b,mama_s_taper,Greek Restaurant
4f6c81c6e4b0463c92c9d8ea,Marmitaskitchen,General Entertainment
4f7026394fc6d87de4403d81,learningevo,Office
4f75cbb97beb90b36ea63a19,OXETTEJewellery,Jewelry Store
4f75d51de4b04e9a8aaaefb7,Hairmides,Salon / Barbershop
4f76aedc121da61ac55d1524,VisionCA,Electronics Store
4f79c4617716bb53304869f7,MatinaPefkos,Hotel
4f79c69d7716bb533048a999,PefkosVillageRe,Hotel
4f79eb07d4f2c803d0e32c13,lufthansa,Plane
4f7b36e3e4b0ec7f4bfcde64,iasisplus,Pharmacy
4f7f02c7e4b049fd33a339c2,ntentopoulos,Design Studio
4f831116be77bf5b12bb6bc6,CWIgr,Office
4f84d44de4b0ab310a3f10f2,eradio,Tech Startup
4f8718d57b0c6e1151dc3a24,asaoulidis,Office
4f87fb18e4b0202c04d58f87,iosifinaphoto,Photography Lab
4f8831a0e4b00a6260b49759,tutto_per_casa,Furniture / Home Store
4f889421e4b0cec3aa738256,stegnakozas,Seafood Restaurant
4f8bf1c2c2ee9c12b8cf03e7,heavymelon,Tech Startup
4f8c5faae4b0c71a7481eeae,mpoulieris,Nightclub
4f8d15b6e4b0704732ea92d5,nikpekridis,Photography Lab
4f8eeb06e4b0bdaf06dcce35,KalafatisSt,Office
4f927eb5e4b0a20c25ae5735,Tsiokas_Xarhs,Office
4f93348be4b01cffa18a02d7,mistralbar,Cocktail Bar
4f953122e4b0f08d41550276,MakedoniaTV,TV Station
4f99bc06e4b0e5d2a75ce1fa,mallioras,Grilled Meat Restaurant
4f9a8e8fd5fb4ed666fb631c,AvanceRent,Rental Car Location
4f9a93efe4b033dc29873f07,TEAM_agency,Office
4f9be4abe4b0de62677d7f0e,TopGreekGyms,Gym / Fitness Center
