ID,Twitter,Category
"4d15dc9b6d1037044fba2cbd","hyatttweets","Hotel"
"4d1a114cb15cb1f74b66c721","madmacsgr","Electronics Store"
"4d1b75751683a14395917d51","camper","Shoe Store"
"4d1b84c14ff98cfa38f9b23e","goodyscom","Burger Joint"
"4d1fd68270ca60fcfb8c2c5e","artsoundgr","Music Store"
"4d20c26ae56f6ea87cb5771d","nooon_cafe","Café"
"4d2456cfc5f2a1cd775452cf","petersportgr","Sporting Goods Shop"
"4d26eabab818a35db971868a","vodafone_gr","Mobile Phone Shop"
"4d2b2fc6342d6dcb20b013cb","abvassilopoulos","Supermarket"
"4d2daa3a762fa143bd477b64","splash_sauna","Bath House"
"4d31f704c75a6ea87e8409ae","goodyscom","Fast Food Restaurant"
"4d354fe5eefa8cfaf74a53b3","katerinazee","Design Studio"
"4d369c4a61a260fc1b24227b","spgamingnet","Internet Cafe"
"4d3c70b0d2c8f04d82a26172","todaystores","Convenience Store"
"4d3d616a8edf3704560ab9a5","alpha_bank","Bank"
"4d3db64b3ec9a35deee45381","body_shine","Tanning Salon"
"4d3fc369255d8cfa3ad05e05","pem_pat","Office"
"4d401a57adb6236af0fc8440","replaygr","Clothing Store"
"4d41654790f9224b752e0f1e","kotsovoloson","Electronics Store"
"4d43160fb6e73704b1788c09","globalsomango","Office"
"4d4ae1bb9526b60c38c686ee","alpha_bank","Bank"
"4d4d82af9ee1370454aa848b","lindyhopgreece","Dance Studio"
"4d51049e747f6dcbf30bbcd4","alpha_bank","Bank"
"4d51e496994dba7a91e517ec","remvibar","Café"
"4d59116e23e0a093f4524049","dei_gr","Building"
"4d592fe7700b8eecd0c96bdc","ststelios","Grocery Store"
"4d59fdec23e0a093b2c34a49","todaystores","Convenience Store"
"4d5d570c9c31b60c79b8beee","goodyscom","Fast Food Restaurant"
"4d5e4953865a224b27419085","dei_gr","Office"
"4d622c90ef378cfa35e193a6","petrosgentilini","Vineyard"
"4d6765e36ddb5941a286f46f","ammosrestaurant","Greek Restaurant"
"4d6e1cb6134ea14305a08a1a","don_dakius","Dentist's Office"
"4d6e3a76134ea143ba8c8c1a","eurobank_group","Bank"
"4d6e8e61134ea143ef57921a","zpalace","Hotel"
"4d6fe52a0187236aa7caa2ba","jumbostores","Toy / Game Store"
"4d700c1f0d996dcb4a41c08e","inspot","Internet Cafe"
"4d712b69aa38721e655ea125","vodafone_gr","Mobile Phone Shop"
"4d7222f15838a093d45e06db","eko_greece","Gas Station"
"4d74150c949854819059257e","nephelihotel","Hotel"
"4d75dc69f86fa1cde2fa79a8","smafroditi","Grocery Store"
"4d7759b6396f37041253a638","easybikegr","Tech Startup"
"4d7778e7396f3704de5da838","eurobank_group","Bank"
"4d7b22d6645ea35dea392df8","angolocafe","Café"
"4d7b6fdb34f7721ef102b225","eko_greece","Gas Station"
"4d7b72152b732c0f9f2385f5","speak_languages","General College & University"
"4d7c967dcf3f3704bedf5340","todaystores","Convenience Store"
"4d7cc89dea35236a9eeb5e23","royalhotelgr","Hotel"
"4d7d29fcea35236a795d6623","savvikos_1947","BBQ Joint"
"4d7f40e1870037043a668099","lindianvillage","Hotel"
"4d83652950913704da8d675b","eurobank_group","Bank"
"4d838c1781fdb1f7fa4be9bf","bsb_fashion","Women's Store"
"4d865091fb95d7ce414dde63","delipharmacy","Pharmacy"
"4d88a0cf3acc6dcba3690b1c","gregorysgr","Snack Place"
"4d88e77fbc848cfacb1fb72b","mango","Women's Store"
"4d8c594d5bd6f04d0ce6e328","themethotel","Restaurant"
"4d907a5f5dff8eecf9461ed0","winbank_tweets","Bank"
"4d907af75dff8eec674c1ed0","winbank_tweets","Bank"
"4d907f1b5dff8eecbf701ed0","winbank_tweets","Bank"
"4d907fa95dff8eecee751ed0","winbank_tweets","Bank"
"4d90a3d1788c54810cb568fd","taurushellassec","Miscellaneous Shop"
