screen_name;neademokratia;syriza_gr;kinimallagis;ellinikilisi;mera25_gr;kmitsotakis;atsipras;FofiGennimata;velopky;yanisvaroufakis
CZachariadis;2.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0
tasos_chatziv;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
nmitarakis;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
Odysseas_;2.0;2.0;1.0;2.0;2.0;1.0;4.0;2.0;2.0;3.0
TheanoFotiou;3.0;1.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;1.0
AnnaEfthymiou_;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0
michaelkatrinis;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0
xrisalex;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0
GIOTAPOULOU;3.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;2.0;3.0
ZeybekHuseyin;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0
pavpol2222;3.0;1.0;2.0;2.0;2.0;3.0;1.0;3.0;2.0;1.0
maravegiaskost;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
k_karagounis;1.0;3.0;2.0;2.0;2.0;1.0;3.0;2.0;1.0;1.0
E_Achtsioglou;3.0;1.0;2.0;2.0;2.0;4.0;1.0;2.0;2.0;2.0
ChristosDimas_;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
originaljon;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
JSarakiotis;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0
htheoharis;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
PapachristTh;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
A_Meikopoulos;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0
syrmal2000;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0
avdelas_ap;3.0;2.0;2.0;1.0;2.0;3.0;1.0;2.0;1.0;3.0
nectarsant;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0
FotiniPipili;1.0;2.0;2.0;2.0;2.0;1.0;4.0;2.0;2.0;3.0
PanosSkourolia1;2.0;1.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;2.0
l_avgenakis;1.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;3.0
kutsubad;1.0;2.0;2.0;2.0;2.0;1.0;3.0;2.0;2.0;3.0
BoutsikakisChr;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
meropitzoufi;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
BKegeroglou;2.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0
MakisVoridis;1.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;4.0
MarkopoulosDimi;3.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0
andreasxanthos;2.0;1.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;2.0
gstylios;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;5.0
