Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8
Θεοχάρης Αθανασίου Θεοχάρης (Χάρης),Θεοχάρης,Θεοχάρης Χάρης,ΝΔ,htheoharis,@A_DeputyChief,@htheoharis,,,,,,
Χατζηδάκης Διονυσίου Διονύσιος,Χατζηδάκης,Χατζηδάκης Διονύσιος,ΝΔ,,,,,,,,,
Δούνια Δημητρίου Παναγιώτα (Νόνη),Δούνια,Δούνια Νόνη,ΝΔ,NoniDounia,@NoniDounia,@NoniDounia,@tsapanidou,@nataliadragoumi,@TommyHilfiger,@sofia_zacharaki,,
Κατσαφάδος Ιωάννη Κωνσταντίνος,Κατσαφάδος,Κατσαφάδος Κωνσταντίνος,ΝΔ,katsafados,,,,,,,,
Μπουτσικάκης Ιωάννη Χριστόφορος - Εμμανουήλ,Μπουτσικάκης,Μπουτσικάκης Εμμανουήλ,ΝΔ,BoutsikakisChr,,,,,,,,
Μελάς Παναγιώτη Ιωάννης,Μελάς,Μελάς Ιωάννης,ΝΔ,yiannismelas,@melakosontwit,@EY_TMT,@konmelas,,,,,
Μανωλάκος Πέτρου Νικόλαος,Μανωλάκος,Μανωλάκος Νικόλαος,ΝΔ,manolakosnik,@aeginaportal,,,,,,,
Μαρκόπουλος Κωνσταντίνου Δημήτριος,Μαρκόπουλος,Μαρκόπουλος Δημήτριος,ΝΔ,markopoulosdimi,@MarkopoulosDimi,@MarkopoulosDimi,@gmark0poulos,,,,,
Τραγάκης Παναγιώτη Ιωάννης,Τραγάκης,Τραγάκης Ιωάννης,ΝΔ,,,,,,,,,
Μαρτίνου Αθανασίου Γεωργία,Μαρτίνου,Μαρτίνου Γεωργία,ΝΔ,GeorgiaMartinou,@GeorgiaMartinou,@jojomartinou,,,,,,
Οικονόμου Αθανασίου Βασίλειος,Οικονόμου,Οικονόμου Βασίλειος,ΝΔ,OikonomouVasili,@V_Oikonomou,@OikonomouVasili,@vasilis_kekatos,@vassilistsigkristaris,,,,
Βλάχος Θεοδώρου Γεώργιος,Βλάχος,Βλάχος Γεώργιος,ΝΔ,Vlachos_G,@GeorgiosVla,@sergey_nog,@alexandraxron,,,,,
