Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7
Ράπτη Γεωργίου Ζωή,Ράπτη,Ράπτη Ζωή,ΝΔ,raptizoi,@rapti_elena_official,@raptis_nick,@kympouropoulos,,,,
Ρουσόπουλος Βασιλείου Θεόδωρος,Ρουσόπουλος,Ρουσόπουλος Θεόδωρος,ΝΔ,RoussopoulosTh,@RousopoulosgΘεόδωρος,@roussopoulosth,@RoussopoulosTh,@kympouropoulos,,,
Κουμουτσάκος Σπυρίδωνος Γεώργιος,Κουμουτσάκος,Κουμουτσάκος Γεώργιος,ΝΔ,GKoumoutsakos,@GKoumoutsakos,@kympouropoulos,@anna_michelle_nd,,,,
Κεραμέως Κωνσταντίνου Νίκη,Κεραμέως,Κεραμέως Νίκη,ΝΔ,nkerameus,@nkerameus,@nkerameus,@nkerameus,,,,
Καιρίδης Κωνσταντίνου Δημήτριος,Καιρίδης,Καιρίδης Δημήτριος,ΝΔ,DimKairidis,@DimKairidis,@DimKairidis,@voularinos,@gzarifopoulos,,,
Γεωργιάδης Αθανασίου Σπυρίδων - Άδωνις,Γεωργιάδης,Γεωργιάδης Άδωνις,ΝΔ,AdonisGeorgiadi,@AdonisGeorgiadi,@adonis_georgiadis,@AdonisGeorgiadi,@AdonisGeorgiadi,@AdonisGeorgiadi,@Skai,
Χατζηδάκης Ιωάννη Κωνσταντίνος (Κωστής),Χατζηδάκης,Χατζηδάκης Κωστής,ΝΔ,K_Hatzidakis,@K_Hatzidakis,@panagiotis_hatzidakis,@K_Hatzidakis,,,,
Βαρβιτσιώτης Ιωάννη Μιλτιάδης,Βαρβιτσιώτης,Βαρβιτσιώτης Μιλτιάδης,ΝΔ,MVarvitsiotis,@MVarvitsiotis,@MVarvitsiotis,,,,,
Λοβέρδος Πέτρου Ιωάννης - Μιχαήλ (Γιάννης),Λοβέρδος,Λοβέρδος Γιάννης,ΝΔ,YiannisLoverdos,@YiannisLoverdos,@YiannisLoverdos,@a_loverdos,,,,
Μητσοτάκης Κωνσταντίνου Κυριάκος,Μητσοτάκης,Μητσοτάκης Κυριάκος,ΝΔ,kmitsotakis,@kmitsotakis,@kyriakos_,@PrimeministerGR,@kmitsotakis,@PrimeministerGR,,
Κυρανάκης Ιωάννη - Παναγιώτη Κωνσταντίνος,Κυρανάκης,Κυρανάκης Κωνσταντίνος,ΝΔ,kyranakis,@kyranakis,@kyranakis,@kyranakis,,,,
Παπαδημητρίου Αθανασίου Χαράλαμπος (Μπάμπης),Παπαδημητρίου,Παπαδημητρίου Μπάμπης,ΝΔ,babis2019,@papadimitriou,@papadelena,@babis2019,@babis2019,@Re9ioxGFl3JAlq8,@pavlospapadim,
Σπανάκης Νικολάου Βασίλειος - Πέτρος,Σπανάκης,Σπανάκης Πέτρος,ΝΔ,vspanakis,@vspanakis,@vspanakis,,,,,
Δένδιας Σπυρίδωνος Νικόλαος - Γεώργιος,Δένδιας,Δένδιας Γεώργιος,ΝΔ,NikosDendias,@NikosDendias,@NikosDendias,,,,,
Βούλτεψη Ιωάννη Σοφία,Βούλτεψη,Βούλτεψη Σοφία,ΝΔ,sofia_voultepsi,@Sofia_voultepsi,,,,,,
Καλλιάνος Δημητρίου Ιωάννης,Καλλιάνος,Καλλιάνος Ιωάννης,ΝΔ,kallianos,@kallianos,@kallianos,@gzarifopoulos,,,,
Καραμανλή Αρκαδίου Άννα,Καραμανλή,Καραμανλή Άννα,ΝΔ,annakaramanli,@natasapazaitibhc,@karamanlis_k,@alexandros,,,,
Θεοχάρης Αθανασίου Θεοχάρης (Χάρης),Θεοχάρης,Θεοχάρης Χάρης,ΝΔ,htheoharis,@htheoharis,@harry_theoharis,@Yannis_Theo,@BrigTheoxaris,,,
Χατζηδάκης Διονυσίου Διονύσιος,Χατζηδάκης,Χατζηδάκης Διονύσιος,ΝΔ,,@K_Hatzidakis,@panagiotis_hatzidakis,@K_Hatzidakis,,,,
Δούνια Δημητρίου Παναγιώτα (Νόνη),Δούνια,Δούνια Νόνη,ΝΔ,NoniDounia,@dounia_esd,,,,,,
Κατσαφάδος Ιωάννη Κωνσταντίνος,Κατσαφάδος,Κατσαφάδος Κωνσταντίνος,ΝΔ,katsafados,@qFyqYbaAYGy06ul,@katsafadosk,,,,,
Μπουτσικάκης Ιωάννη Χριστόφορος - Εμμανουήλ,Μπουτσικάκης,Μπουτσικάκης Εμμανουήλ,ΝΔ,BoutsikakisChr,@BoutsikakisChr,,,,,,
Μελάς Παναγιώτη Ιωάννης,Μελάς,Μελάς Ιωάννης,ΝΔ,yiannismelas,@yiannismelas,,,,,,
Μανωλάκος Πέτρου Νικόλαος,Μανωλάκος,Μανωλάκος Νικόλαος,ΝΔ,manolakosnik,@manolakosnik,,,,,,
Μαρκόπουλος Κωνσταντίνου Δημήτριος,Μαρκόπουλος,Μαρκόπουλος Δημήτριος,ΝΔ,markopoulosdimi,@Eliamarkopoulos,@MarkopoulosDimi,@MarkopoulosDimi,,,,
Τραγάκης Παναγιώτη Ιωάννης,Τραγάκης,Τραγάκης Ιωάννης,ΝΔ,,@nikolettaralli,,,,,,
Μαρτίνου Αθανασίου Γεωργία,Μαρτίνου,Μαρτίνου Γεωργία,ΝΔ,GeorgiaMartinou,@kosmote1,@kosmote1,@GeorgiaMartinou,,,,
