screen_name,id,protected,real_name,name,Greeklish,Uppercase,Different_Name
liakosev,480344041,False,Λιάκος Ευάγγελος,VAGGELIS LIAKOS,True,True,True
SpiliosL,1904674254,False,Λιβανός Σπήλιος,Spilios Livanos,True,False,False
SalmasMarios,335179820,False,Σαλμάς Μάριος,Salmas Marios,True,False,False
k_karagounis,805151138,False,Καραγκούνης Κωνσταντίνος,Κώστας Καραγκούνης,False,False,True
KostasVlasis,402714886,False,Βλάσης Κωνσταντίνος,Kostas Vlasis,True,False,True
gstylios,74694195,False,Στύλιος Γεώργιος,Γιώργος Στύλιος,False,False,True
xrisalex,93629265,False,Αλεξοπούλου Χριστίνα,Χριστίνα Αλεξοπούλου,False,False,False
katsaniotis,407091620,False,Κατσανιώτης Ανδρέας,Ανδρέας Κατσανιώτης,False,False,False
tsigris_angelos,409149518,False,Τσιγκρής Άγγελος,Άγγελος Τσιγκρής,False,False,False
IasonFotilas,3063865762,False,Φωτήλας Ιάσων,Iasonas Fotilas,True,False,True
kutsubad,563969004,False,Κουτσούμπας Ανδρέας,Ανδρέας Κουτσούμπας,False,False,False
patsis_andreas,1010930311289556992,False,Πάτσης Ανδρέας,Andreas Patsis,True,False,False
blouchosdrama,2973131037,False,Μπλούχος Κωνσταντίνος,Μπλούχος Κώστας,False,False,True
pappas_ioannis,2960720745,False,Παππάς Ιωάννης,ΙΩΑΝΝΗΣ ΠΑΠΠΑΣ,False,True,False
manoskonsolas,437388094,False,Κόνσολας Μάνος,Manos Konsolas,True,False,False
vnaypsilantis,410883378,False,Υψηλάντης Νικόλαος,Vassilis Ypsilantis,True,False,True
ADimoschakis,2466630270,False,Δημοσχάκης Τάσος,Α.Δημοσχάκης,False,False,True
keletsis,1158632932304674822,False,Κελέτσης Σταύρος,Stavros Keletsis,True,False,False
ChrisDermen,342436250,False,Δερμεντζόπουλος Χρήστος,Chris Dermentzopoulos,True,False,True
SimosKedikoglou,2748749053,False,Κεδίκογλου Σίμος,Simos Kedikoglou,True,False,False
than_zebilis,1137980607496183809,False,Ζεμπίλης Αθανάσιος,Θανασης Ζεμπιλης,False,False,True
anikolakopoulos,1325311602,False,Νικολακόπουλος Ανδρέας,Ανδρέας Νικολακόπουλος,False,False,False
Tzavaraskon,2863966079,False,Τζαβάρας Κωνσταντίνος,Κώστας Τζαβάρας,False,False,True
avgerinopoulou,142677826,False,Αυγερινοπούλου Θεοδώρα,Avgerinopoulou Dion,True,False,True
a_vesiropoulos,560852528,False,Βεσυρόπουλος Απόστολος,Απόστολος Βεσυρόπουλος,False,False,False
t_bartzokas,3410091958,False,Μπαρτζώκας Αναστάσιος,Τάσος Μπαρτζώκας,False,False,True
LazarosTsavdar1,3313931657,False,Τσαβδαρίδης Λάζαρος,Lazaros Tsavdaridis,True,False,False
maxsenetakis,404869413,False,Σενετάκης Μάξιμος,Μάξιμος Σενετάκης,False,False,False
l_avgenakis,706861315344748545,False,Αυγενάκης Ελευθέριος,Lefteris Avgenakis,True,False,True
giogiakasv,907708101872283649,False,Γιόγιακας Βασίλειος,Βασίλειος Γιόγιακας,False,False,False
gioulekaskostas,190278613,False,Γκιουλέκας Κωνσταντίνος,Κώστας Γκιουλέκας,False,False,True
KalafatisSt,484702915,False,Καλαφάτης Σταύρος,Stavros Kalafatis,True,False,False
AnnaEfthymiou_,529702286,False,Ευθυμίου Άννα,Άννα Ευθυμίου,False,False,False
efsimopoulos,110670092,False,Σιμόπουλος Στράτος,Stratos Simopoulos,True,False,False
Elena_Rapti,70973903,False,Ράπτη Ελένη,Elena Rapti,True,False,False
DKouvelas,253261560,False,Κούβελας Δημήτριος,Dimitris Kouvelas,True,False,True
